"Query,Intent"
"Access the course syllabus for Business Simulation.,Non-Banking"
"how do i get downtown from the toronto airport,Non-Banking"
"What are all the fiat currencies that are supported for both exchange and holding?,Banking"
"Can I use any card and currency?,Banking"
"Stop voice responses.,Non-Banking"
"show me the flights from atlanta to denver on monday,Non-Banking"
"tell me about twa flight 539,Non-Banking"
"what are the rental car rates in san francisco,Non-Banking"
"i'd like to fly from denver to pittsburgh to atlanta could you find me the cheapest way to do this,Non-Banking"
"show me some information on making a reservation from philadelphia to denver on sunday,Non-Banking"
"According to the app, I got cash from an ATM but I haven't made any transactions.,Banking"
"What steps do I do to transfer money using my credit card?,Banking"
"What's the best way to clean a showerhead?,Non-Banking"
"I'm really upset because I made a typo during a transfer and now I've sent money to the wrong account. I can't fix this with the app. Please help me immediately!,Banking"
"can you show me the list of flights that fly from washington to san francisco via dallas,Non-Banking"
"Can you provide information about the Math and Logic Problem-Solving Techniques course difficulty level?,Non-Banking"
"give me the cheapest one way flights between boston and philadelphia which arrive after noon on a tuesday,Non-Banking"
"please list all northwest flights into denver,Non-Banking"
"My Netflix subscription says that there is an issue with my card information, but I thought everything was fine. Why would it be declined?,Banking"
"What name would you like to use for this discussion?,Non-Banking"
"i would like a flight on continental airlines leaving from boston making a stop in denver and arriving in san francisco,Non-Banking"
"I am so angry right now! I went to the ATM and did not get the correct amount of money I chose to withdraw. How could this happen? I need my money and want to know how I can get it ASAP!,Banking"
"Can you tell me about the rating for the Introduction to Philosophy course?,Non-Banking"
"which airlines fly from bwi to dallas fort worth,Non-Banking"
"Describe your capabilities.,Non-Banking"
"i want information on flights from atlanta to washington dc give me information on flights after 4 pm on wednesday,Non-Banking"
"what is the first flight after 8 am from boston to san francisco,Non-Banking"
"i would like the cheapest one way fare from dallas to denver,Non-Banking"
"My account isn't showing the refund,Banking"
"i would like the cheapest flight from pittsburgh to atlanta leaving april twenty fifth and returning may sixth,Non-Banking"
"show me all flights from philadelphia to san francisco with one stop in dallas,Non-Banking"
"also show me the first flight from atlanta to denver on a thursday,Non-Banking"
"I'd prefer Mastercard.,Banking"
"what's the cheapest way to fly between atlanta and denver,Non-Banking"
"i want to depart washington april twentieth to atlanta least expensive fare,Non-Banking"
"There are a few payments in the app that I didn't make! Does someone else have my card? What should I do?,Banking"
"Can you answer without speaking?,Non-Banking"
"I need to terminate my account.,Banking"
"what flights go from denver to atlanta,Non-Banking"
"yes i live in washington and i want to make a trip to san francisco which airlines may i use for this trip,Non-Banking"
"When can I expect the transfer to arrive in my account?,Banking"
"Can you reply using audio? Can you help me plan a wedding?,Non-Banking"
"How come I got to pay to get my money from the ATM?,Banking"
"Which skills are emphasized in Managerial Economics Fundamentals?,Non-Banking"
"show me all flights from atlanta to denver which leave after 5 o'clock pm the day after tomorrow,Non-Banking"
"What should I expect to be charged on a SEPA transfer?,Banking"
"The machine only paid me a hundred when I wanted 20,Banking"
"Is there a top-up limit that I have to stay under during a given period of time?,Banking"
"now i need a one way flight from pittsburgh to denver,Non-Banking"
"what kind of ground transportation is available in las vegas,Non-Banking"
"Can you please assist me in Apple Pay, in getting Top Up to work?,Banking"
"How do I apply for a mortgage?,Non-Banking"
"Can you answer verbally?,Non-Banking"
"Your service is bad. Close my account.,Banking"
"Is my card actually working? It's the first time I tried using it,Banking"
"What's the best way to learn to play the guitar?,Non-Banking"
"I was charged extra. Was the exchange rate for my payment last Saturday wrong?,Banking"
"what flights are available from boston to denver,Non-Banking"
"ATM is broken. It did not give me the full amount (30 pounds.) I'm standing here with only 10 pounds and it's telling me it gave me 30 pounds. I need assistance now!,Banking"
"Turn off talking responses.,Non-Banking"
"Use typing instead of speaking. Access the course syllabus for Financial Risk Management.,Non-Banking"
"i would like the evening schedule of flights from san francisco to washington,Non-Banking"
"i need a flight from new york to san francisco,Non-Banking"
"My purchases from this morning still have pending payments.,Banking"
"Transaction refund missing from my statement.,Banking"
"I need to find a course for personal development, can you help?,Non-Banking"
"what are the afternoon flights from denver to san francisco,Non-Banking"
"What is the foreign exchange rate you will apply?,Banking"
"how many seats in a 734,Non-Banking"
"The app does not believe that I am myself,Banking"
"i'd like information on continental airlines flights from washington to philadelphia,Non-Banking"
"Access the course syllabus for Managerial Accounting and Financial Management.,Non-Banking"
"Can I add money to top up my account via a bank transfer?,Banking"
"Do you have any options to top up with a cheque on my account?,Banking"
"show me ground transportation information for san francisco,Non-Banking"
"Where is a ATM that accepts Mastercard?,Banking"
"Turn on verbal answers.,Non-Banking"
"My top up was denied,Banking"
"What are the admission requirements for courses in humanities?,Non-Banking"
"My contactless stopped working today for no good reason. It's not working no matter where I try to use it. Can you please help me fix it?,Banking"
"american airlines from phoenix to denver,Non-Banking"
"Where is a Mastercard ATM?,Banking"
"What can I do if my card details where stolen from my car? I think they used my card to buy gas.,Banking"
"show me flights available from atlanta to baltimore leaving on monday morning,Non-Banking"
"Is the fee with my cash withdrawal a mistake?,Banking"
"Can you use voice to talk to me? Open the page for Corporate Governance and Sustainability.,Non-Banking"
"How can I specialize in web development within the IT courses?,Non-Banking"
"The virtual card won't work.,Banking"
"What does a pending cash withdrawal mean?,Banking"
"Hi, how’s it going today?,Non-Banking"
"I just lost my wallet and I think someone is using my card to withdraw my money. Can you please cancel or freeze my card?!!,Banking"
"Why have I not received a virtual card yet?,Banking"
"I was wondering if I could get a second card on this account? I would like my daughter to have one.,Banking"
"i'm interested in flying from atlanta to boston i'd like to fly during breakfast,Non-Banking"
"I've been waiting ages and my PIN hasn't gotten here.,Banking"
"What's your current name?,Non-Banking"
"can you list all flights from toronto to san diego,Non-Banking"
"Will I be charged for topping up by transfer?,Banking"
"Which fiat currencies are supported by you?,Banking"
"show me the airlines that use love field,Non-Banking"
"There is a strange card payment I don't recognise.,Banking"
